"Year","ABBREV_NAME","offence","num","rate","pop"
2001,"AURUKUN","Drug Related Offences",6,558.659217876,1074.0000000021
2001,"AURUKUN","Sexual Offences",4,372.43947858,1074.00000001364
2001,"AURUKUN","Violent Offences",187,17411.54562377,1074.00000000408
2001,"BALONNE","Drug Related Offences",234,4275.534441821,5472.99999997981
2001,"BALONNE","Sexual Offences",12,219.258176506,5472.99999992092
2001,"BALONNE","Violent Offences",98,1790.60844145,5472.99999996881
2001,"BANANA","Drug Related Offences",346,2227.3722157831,15534.0000000114
2001,"BANANA","Sexual Offences",32,205.9997424992,15534.0000000846
2001,"BANANA","Violent Offences",112,720.999098749,15534.0000000458
2001,"BARCALDINE","Drug Related Offences",18,516.795865632,3483.00000000725
2001,"BARCALDINE","Sexual Offences",2,57.421762848,3483.00000000724
2001,"BARCALDINE","Violent Offences",19,545.50674706,3482.99999998171
2001,"BARCOO","Drug Related Offences",24,5286.34361232,454.000000001271
2001,"BARCOO","Violent Offences",2,440.52863436,454.000000001271
2001,"BLACKALL TAMBO","Drug Related Offences",26,1090.146750522,2385.00000000461
2001,"BLACKALL TAMBO","Sexual Offences",6,251.57232704,2385.00000003816
2001,"BLACKALL TAMBO","Violent Offences",5,209.64360587,2385.00000000024
2001,"BOULIA","Drug Related Offences",22,3886.92579506,565.999999998981
2001,"BOULIA","Violent Offences",40,7067.13780913,566.000000004587
2001,"BRISBANE","Drug Related Offences",14402,1625.89877702,885786.999999868
2001,"BRISBANE","Sexual Offences",2322,262.1397694928,885787.000001073
2001,"BRISBANE","Violent Offences",6851,773.4365033592,885786.999998661
2001,"BULLOO","Drug Related Offences",6,1333.33333332,450.0000000045
2001,"BULLOO","Violent Offences",2,444.44444444,450.0000000045
2001,"BUNDABERG","Drug Related Offences",1240,1601.446467783,77429.9999997267
2001,"BUNDABERG","Sexual Offences",262,338.3701407715,77430.0000001855
2001,"BUNDABERG","Violent Offences",591,763.2700503678,77430.0000000278
2001,"BURDEKIN","Drug Related Offences",650,3579.6893931016,18158.0000000171
2001,"BURDEKIN","Sexual Offences",22,121.1587179214,18157.9999998615
2001,"BURDEKIN","Violent Offences",101,556.2286595468,18157.9999999087
2001,"BURKE","Drug Related Offences",10,2040.81632652,490.000000002548
2001,"BURKE","Sexual Offences",110,22448.9795912,490.000000013898
2001,"BURKE","Violent Offences",34,6938.77551017,490.000000002407
2001,"CAIRNS","Drug Related Offences",4344,3765.1790280226,115372.999999986
2001,"CAIRNS","Sexual Offences",638,552.9890008945,115372.999999636
2001,"CAIRNS","Violent Offences",1638,1419.7429207861,115373.000000102
2001,"CARPENTARIA","Drug Related Offences",62,2760.463045421,2245.99999999436
2001,"CARPENTARIA","Sexual Offences",6,267.141585042,2245.99999998378
2001,"CARPENTARIA","Violent Offences",136,6055.209260908,2246.0000000001
2001,"CASSOWARY COAST","Drug Related Offences",1342,4543.607800673,29535.9999998508
2001,"CASSOWARY COAST","Sexual Offences",102,345.3412784416,29535.999999852
2001,"CASSOWARY COAST","Violent Offences",325,1100.3521126773,29535.9999999666
2001,"CENTRAL HIGHLANDS","Drug Related Offences",540,2196.8186811056,24580.9999998831
2001,"CENTRAL HIGHLANDS","Sexual Offences",60,244.0909645667,24580.9999999424
2001,"CENTRAL HIGHLANDS","Violent Offences",161,654.9774215838,24581.0000000742
2001,"CHARTERS TOWERS","Drug Related Offences",214,1782.2936620232,12007.0000000491
2001,"CHARTERS TOWERS","Sexual Offences",50,416.4237528108,12007.0000000017
2001,"CHARTERS TOWERS","Violent Offences",124,1032.7309069706,12007.0000000039
2001,"CHERBOURG ABORIGINAL","Drug Related Offences",24,2023.60876896,1186.00000000664
2001,"CHERBOURG ABORIGINAL","Sexual Offences",8,674.53625632,1186.00000000664
2001,"CHERBOURG ABORIGINAL","Violent Offences",192,16188.87015172,1186.00000000371
2001,"CLONCURRY","Drug Related Offences",96,2557.272242917,3754.00000003503
2001,"CLONCURRY","Sexual Offences",6,159.829515186,3753.99999994842
2001,"CLONCURRY","Violent Offences",83,2210.974960029,3754.00000002313
2001,"COOK","Drug Related Offences",284,7810.78107814,3635.99999998502
2001,"COOK","Sexual Offences",20,550.055005505,3635.99999997058
2001,"COOK","Violent Offences",169,4647.964796515,3635.99999997234
2001,"CROYDON","Drug Related Offences",52,18439.716312,282.000000000868
2001,"CROYDON","Violent Offences",7,2482.26950356,281.999999998421
2001,"DIAMANTINA","Violent Offences",5,1562.5,320
2001,"DOOMADGEE ABORIGINAL","Drug Related Offences",8,679.117147708,1177.99999999996
2001,"DOOMADGEE ABORIGINAL","Sexual Offences",8,679.117147712,1177.99999999303
2001,"DOOMADGEE ABORIGINAL","Violent Offences",138,11714.770798026,1177.99999999363
2001,"DOUGLAS","Drug Related Offences",428,4169.9142634444,10264.0000000016
2001,"DOUGLAS","Sexual Offences",18,175.3702260324,10264.0000000197
2001,"DOUGLAS","Violent Offences",154,1500.3897116164,10263.9999999795
2001,"ETHERIDGE","Drug Related Offences",46,4613.84152463,996.999999987839
2001,"ETHERIDGE","Violent Offences",2,200.60180542,996.999999981356
2001,"FLINDERS","Drug Related Offences",40,1951.219512185,2050.00000001063
2001,"FLINDERS","Sexual Offences",4,195.12195122,2049.99999999487
2001,"FLINDERS","Violent Offences",40,1951.219512185,2050.00000001063
2001,"FRASER COAST","Drug Related Offences",2234,3069.4824198572,72781.0000001216
2001,"FRASER COAST","Sexual Offences",272,373.7239114594,72781.0000001964
2001,"FRASER COAST","Violent Offences",765,1051.0985009796,72781.0000001938
2001,"GLADSTONE","Drug Related Offences",1052,2313.1555223153,45479.0000002691
2001,"GLADSTONE","Sexual Offences",216,474.9444798681,45479.0000001657
2001,"GLADSTONE","Violent Offences",492,1081.817981926,45478.9999999884
2001,"GOLD COAST","Drug Related Offences",4958,1305.8399332081,379678.999999603
2001,"GOLD COAST","Sexual Offences",688,181.2057027114,379679.000001315
2001,"GOLD COAST","Violent Offences",2816,741.6791552879,379678.999999252
